ingredient_key,recipes_using,also_product,min_price,product_skus
salt,2069,No,,
pepper,1850,No,,
garlic,1471,Yes,£2.20,FINGARCHI30|FINGARDRY3|FINGARBLA
onion,848,No,,
lemon,815,Yes,£3.25,FINMOD045|FINLEMON4
butter,779,Yes,£3.35,FINBUTTBRUUNSAL250|FINBUTTERBRU250
sugar,567,No,,
stock,555,No,,
vinegar,538,No,,
chilli,483,Yes,£2.65,FINCHILLIPCK
coriander,437,Yes,£2.65,FINCORI30
flour,433,Yes,£2.30,FINORZ|FINMALBROFLO|FINPLAWHIFLO
ginger,390,Yes,£2.10,FINGIN100
mustard,351,Yes,£7.95,FINSAUSPORKMUS
thyme,342,Yes,£2.80,FINTHYME30
cumin,340,No,,
milk,320,Yes,£1.60,FINMLKSKI|FINMLK|FINMLKSEM|FINMILKWH2|FINMILKSEM2
rice,260,No,,
paprika,258,No,,
lime,155,Yes,£3.80,FINLIMENET
oregano,151,Yes,£2.40,FINOREG30
yoghurt,149,Yes,£2.65,FINYOGSTR|FINYOGWHO|FINYOGFRE|FINYOGKEF|FINYOGBLU
honey,141,Yes,£8.70,FINHON
turmeric,135,Yes,£1.95,FINTUR|FINHUMTUR180
breadcrumbs,129,No,,
pasta,95,Yes,£3.25,FINORZ|FINPENSPE500|FINCASA500|FINTRUMAC
noodles,65,No,,
harissa,56,No,,
tahini,51,No,,
miso,39,No,,
